Hybridization REF	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-138-2	0	0.000000	N	1	0.109334	N	12	2.132632	N	4	0.415974	N
hsa-mir-139	940	281.697907	N	3759	410.987705	N	718	127.602455	N	2716	282.446335	N
hsa-mir-140	9670	2897.892300	N	31597	3454.636480	N	22313	3965.450658	N	27746	2885.403535	N
hsa-mir-141	4577	1371.629065	N	101	11.042766	N	100	17.771930	N	162	16.846946	N
hsa-mir-142	938	281.098550	N	11344	1240.288516	N	12454	2213.316116	N	15501	1612.003179	N
hsa-mir-143	760956	228042.247494	N	965682	105582.183929	N	447152	79467.538771	N	424681	44164.061803	N
hsa-mir-144	410	122.868236	N	773	84.515429	N	3776	671.068063	N	335	34.837821	N
hsa-mir-145	27772	8322.674764	N	52432	5732.617019	N	37844	6725.609048	N	29870	3106.285720	N
hsa-mir-1468	163	48.847616	N	910	99.494230	N	117	20.793158	N	138	14.351102	N
hsa-mir-1469	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-146a	345	103.389126	N	4042	441.929318	N	1246	221.438243	N	2751	286.086107	N
hsa-mir-146b	276	82.711300	N	6423	702.254332	N	7326	1301.971565	N	8166	849.210887	N
hsa-mir-147	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1470	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1471	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-147b	0	0.000000	N	3	0.328003	N	12	2.132632	N	7	0.727954	N
hsa-mir-148a	25130	7530.923837	N	99363	10863.785948	N	100744	17904.152785	N	76870	7993.980025	N
hsa-mir-148b	339	101.591054	N	2489	272.133120	N	1640	291.459646	N	2092	217.554393	N
hsa-mir-149	173	51.844402	N	245	26.786908	N	635	112.851753	N	237	24.646459	N
hsa-mir-150	1282	384.187997	N	11017	1204.536193	N	10502	1866.408050	N	15494	1611.275224	N
hsa-mir-151	6163	1846.919364	N	23166	2532.838836	N	11718	2082.514714	N	14135	1469.948064	N
hsa-mir-152	391	117.174342	N	640	69.973964	N	1292	229.613331	N	1552	161.397906	N
hsa-mir-153-1	1	0.299679	N	10	1.093343	N	7	1.244035	N	4	0.415974	N
hsa-mir-153-2	3	0.899036	N	22	2.405355	N	15	2.665789	N	9	0.935941	N
hsa-mir-1537	0	0.000000	N	3	0.328003	N	2	0.355439	N	2	0.207987	N
hsa-mir-1538	0	0.000000	N	2	0.218669	N	0	0.000000	N	3	0.311980	N
hsa-mir-1539	0	0.000000	N	0	0.000000	N	2	0.355439	N	0	0.000000	N
hsa-mir-154	4	1.198714	N	12	1.312012	N	8	1.421754	N	27	2.807824	N
hsa-mir-155	1161	347.926883	N	74273	8120.587882	N	16604	2950.851195	N	51309	5335.802278	N
